city,city_ascii,lat,lng,country,iso2,iso3,admin_name,capital,population,id
Wythenshawe,Wythenshawe,53.392,-2.264,United Kingdom,GB,GBR,Manchester,,110000,1826781713
Sutton Coldfield,Sutton Coldfield,52.563,-1.822,United Kingdom,GB,GBR,Birmingham,,109899,1826034374
Doncaster,Doncaster,53.5231,-1.1339,United Kingdom,GB,GBR,Doncaster,,109805,1826979494
Rotherham,Rotherham,53.43,-1.357,United Kingdom,GB,GBR,Rotherham,,109691,1826763937
Walthamstow,Walthamstow,51.584,-0.021,United Kingdom,GB,GBR,Waltham Forest,,109424,1826009890
Basingstoke,Basingstoke,51.2667,-1.0876,United Kingdom,GB,GBR,Hampshire,,107355,1826924980
Crawley,Crawley,51.1092,-0.1872,United Kingdom,GB,GBR,West Sussex,,106597,1826470693
Dagenham,Dagenham,51.5397,0.1422,United Kingdom,GB,GBR,Barking and Dagenham,,106247,1826363543
Gillingham,Gillingham,51.385,0.55,United Kingdom,GB,GBR,Medway,,104157,1826642243
Halifax,Halifax,53.725,-1.863,United Kingdom,GB,GBR,Calderdale,,104100,1826413776
Salford,Salford,53.483,-2.2931,United Kingdom,GB,GBR,Salford,,103886,1826868550
Wigan,Wigan,53.5448,-2.6318,United Kingdom,GB,GBR,Wigan,,103608,1826902223
Hounslow,Hounslow,51.4668,-0.375,United Kingdom,GB,GBR,Hounslow,,103337,1826943293
Wembley,Wembley,51.5528,-0.2979,United Kingdom,GB,GBR,Brent,,102856,1826635683
Saint Helens,Saint Helens,53.4542,-2.7361,United Kingdom,GB,GBR,St. Helens,,102629,1826775771
Worcester,Worcester,52.1911,-2.2206,United Kingdom,GB,GBR,Worcestershire,,101891,1826393854
Eastbourne,Eastbourne,50.77,0.28,United Kingdom,GB,GBR,East Sussex,,101547,1826356320
Wakefield,Wakefield,53.6825,-1.4975,United Kingdom,GB,GBR,Wakefield,,99251,1826013112
Oldham,Oldham,53.5444,-2.1169,United Kingdom,GB,GBR,Oldham,,96555,1826716070
Hammersmith,Hammersmith,51.4928,-0.2229,United Kingdom,GB,GBR,Hammersmith and Fulham,,95996,1826090130
Rayleigh,Rayleigh,51.5864,0.6049,United Kingdom,GB,GBR,Essex,,95580,1826491250
Hemel Hempstead,Hemel Hempstead,51.7526,-0.4692,United Kingdom,GB,GBR,Hertfordshire,,94932,1826374836
Bath,Bath,51.38,-2.36,United Kingdom,GB,GBR,Bath and North East Somerset,,94782,1826611282
Hayes,Hayes,51.5127,-0.4211,United Kingdom,GB,GBR,Hillingdon,,93928,1826539158
Darlington,Darlington,54.527,-1.5526,United Kingdom,GB,GBR,Darlington,,93015,1826453946
Wimbledon,Wimbledon,51.422,-0.208,United Kingdom,GB,GBR,Merton,,92765,1826386301
Bedford,Bedford,52.135,-0.47,United Kingdom,GB,GBR,Bedford,,92407,1826771105
Hove,Hove,50.8352,-0.1758,United Kingdom,GB,GBR,Brighton and Hove,,91900,1826419818
Southport,Southport,53.6475,-3.0053,United Kingdom,GB,GBR,Sefton,,91703,1826271387
Hastings,Hastings,50.85,0.57,United Kingdom,GB,GBR,East Sussex,,91053,1826499763
Orpington,Orpington,51.3741,0.0986,United Kingdom,GB,GBR,Bromley,,90315,1826667369
Watford,Watford,51.655,-0.3957,United Kingdom,GB,GBR,Hertfordshire,,90301,1826570072
Stevenage,Stevenage,51.9017,-0.2019,United Kingdom,GB,GBR,Hertfordshire,,89663,1826117667
Grimsby,Grimsby,53.5675,-0.08,United Kingdom,GB,GBR,North East Lincolnshire,,88243,1826700880
Hartlepool,Hartlepool,54.69,-1.21,United Kingdom,GB,GBR,Hartlepool,,87995,1826069842
Bromley,Bromley,51.407,0.021,United Kingdom,GB,GBR,Bromley,,87889,1826385764
Chester,Chester,53.19,-2.89,United Kingdom,GB,GBR,Cheshire West and Chester,,87507,1826441668
Fulham,Fulham,51.4828,-0.195,United Kingdom,GB,GBR,Hammersmith and Fulham,,87161,1826877782
Nuneaton,Nuneaton,52.523,-1.468,United Kingdom,GB,GBR,Warwickshire,,86552,1826240370
Derry,Derry,54.9975,-7.32,United Kingdom,GB,GBR,Derry and Strabane,,85016,1826603241
Ealing,Ealing,51.5175,-0.2988,United Kingdom,GB,GBR,Ealing,,85014,1826730060
Woolwich,Woolwich,51.488,0.063,United Kingdom,GB,GBR,Greenwich,,84959,1826479020
Aylesbury,Aylesbury,51.8168,-0.8124,United Kingdom,GB,GBR,Buckinghamshire,,83407,1826391298
Ashford,Ashford,51.1465,0.8676,United Kingdom,GB,GBR,Kent,,83213,1826045748
Stockton-on-Tees,Stockton-on-Tees,54.57,-1.32,United Kingdom,GB,GBR,Stockton-on-Tees,,82729,1826259802
Edmonton,Edmonton,51.6154,-0.0708,United Kingdom,GB,GBR,Enfield,,82472,1826905865
Saint Albans,Saint Albans,51.755,-0.336,United Kingdom,GB,GBR,Hertfordshire,,82146,1826053841
Harlow,Harlow,51.779,0.128,United Kingdom,GB,GBR,Essex,,82059,1826737132
Burnley,Burnley,53.789,-2.248,United Kingdom,GB,GBR,Lancashire,,82002,1826565522
Redditch,Redditch,52.3,-1.9333,United Kingdom,GB,GBR,Worcestershire,,81919,1826205148
Batley,Batley,53.7167,-1.6356,United Kingdom,GB,GBR,Kirklees,,80485,1826037459
Scunthorpe,Scunthorpe,53.5809,-0.6502,United Kingdom,GB,GBR,North Lincolnshire,,79977,1826817883
Dudley,Dudley,52.508,-2.089,United Kingdom,GB,GBR,Dudley,,79379,1826052828
Bury,Bury,53.593,-2.298,United Kingdom,GB,GBR,Bury,,78729,1826242195
Eastleigh,Eastleigh,50.9667,-1.35,United Kingdom,GB,GBR,Hampshire,,78716,1826595228
Brixton,Brixton,51.4575,-0.1175,United Kingdom,GB,GBR,Lambeth,,78536,1826058068
Southall,Southall,51.5111,-0.3756,United Kingdom,GB,GBR,Ealing,,78253,1826336436
Bracknell,Bracknell,51.416,-0.749,United Kingdom,GB,GBR,Bracknell Forest,,77256,1826880896
Paisley,Paisley,55.8456,-4.4239,United Kingdom,GB,GBR,Renfrewshire,,77220,1826549531
Guildford,Guildford,51.2365,-0.5703,United Kingdom,GB,GBR,Surrey,,77057,1826863533
Chatham,Chatham,51.37,0.52,United Kingdom,GB,GBR,Medway,,76792,1826765672
East Ham,East Ham,51.5323,0.0554,United Kingdom,GB,GBR,Newham,,76186,1826587417
Weston-super-Mare,Weston-super-Mare,51.346,-2.977,United Kingdom,GB,GBR,North Somerset,,76143,1826189795
Carlisle,Carlisle,54.8947,-2.9364,United Kingdom,GB,GBR,Cumbria,,75399,1826843688
South Shields,South Shields,54.995,-1.43,United Kingdom,GB,GBR,South Tyneside,,75337,1826396004
East Kilbride,East Kilbride,55.7644,-4.1769,United Kingdom,GB,GBR,South Lanarkshire,,75120,1826488452
Newcastle under Lyme,Newcastle under Lyme,53.0109,-2.2278,United Kingdom,GB,GBR,Staffordshire,,75082,1826124765
Burton upon Trent,Burton upon Trent,52.8019,-1.6367,United Kingdom,GB,GBR,Staffordshire,,75074,1826585602
Gravesend,Gravesend,51.4415,0.3685,United Kingdom,GB,GBR,Kent,,74000,1826609378
Tamworth,Tamworth,52.633,-1.695,United Kingdom,GB,GBR,Staffordshire,,73924,1826336439
Harrogate,Harrogate,53.9919,-1.5378,United Kingdom,GB,GBR,North Yorkshire,,73576,1826765513
Crewe,Crewe,53.099,-2.44,United Kingdom,GB,GBR,Cheshire East,,73241,1826086541
Shrewsbury,Shrewsbury,52.708,-2.754,United Kingdom,GB,GBR,Shropshire,,71715,1826283137
Gosport,Gosport,50.7948,-1.1243,United Kingdom,GB,GBR,Hampshire,,71529,1826330438
Lisburn,Lisburn,54.512,-6.031,United Kingdom,GB,GBR,Lisburn and Castlereagh,,71465,1826667481
Lowestoft,Lowestoft,52.48,1.75,United Kingdom,GB,GBR,Suffolk,,70945,1826419858
Rugby,Rugby,52.37,-1.26,United Kingdom,GB,GBR,Warwickshire,,70627,1826969205
Stafford,Stafford,52.807,-2.117,United Kingdom,GB,GBR,Staffordshire,,70592,1826088347
Chingford,Chingford,51.623,0.009,United Kingdom,GB,GBR,Waltham Forest,,70583,1826861021
Uxbridge,Uxbridge,51.5404,-0.4778,United Kingdom,GB,GBR,Hillingdon,,70560,1826505308
Mansfield,Mansfield,53.1444,-1.1964,United Kingdom,GB,GBR,Nottinghamshire,,69987,1826359576
Rhondda,Rhondda,51.6159,-3.4175,United Kingdom,GB,GBR,Rhondda Cynon Taff,,69506,1826659053
Tynemouth,Tynemouth,55.017,-1.423,United Kingdom,GB,GBR,North Tyneside,,68202,1826445971
Cannock,Cannock,52.691,-2.027,United Kingdom,GB,GBR,Staffordshire,,67768,1826709192
Walsall,Walsall,52.58,-1.98,United Kingdom,GB,GBR,Walsall,,67594,1826655696
Washington,Washington,54.9,-1.52,United Kingdom,GB,GBR,Sunderland,,67158,1826149081
Grays,Grays,51.475,0.33,United Kingdom,GB,GBR,Thurrock,,66843,1826003493
Godalming,Godalming,51.1855,-0.6155,United Kingdom,GB,GBR,Surrey,,66773,1826220347
Walton upon Thames,Walton upon Thames,51.3868,-0.4133,United Kingdom,GB,GBR,Surrey,,66566,1826528871
Finchley,Finchley,51.599,-0.187,United Kingdom,GB,GBR,Barnet,,65812,1826882560
Thornton Heath,Thornton Heath,51.4002,-0.1086,United Kingdom,GB,GBR,Croydon,,65812,1826002522
Torquay,Torquay,50.47,-3.53,United Kingdom,GB,GBR,Torbay,,65245,1826982921
Farnborough,Farnborough,51.29,-0.75,United Kingdom,GB,GBR,Hampshire,,65034,1826383788
Kensington,Kensington,51.5,-0.19,United Kingdom,GB,GBR,Kensington and Chelsea,,64681,1826583042
Boston,Boston,52.974,-0.0214,United Kingdom,GB,GBR,Lincolnshire,,64600,1826233090
Paignton,Paignton,50.4353,-3.5625,United Kingdom,GB,GBR,Devon,,64410,1826935894
Waterlooville,Waterlooville,50.88,-1.03,United Kingdom,GB,GBR,Hampshire,,64350,1826290265
Guiseley,Guiseley,53.875,-1.706,United Kingdom,GB,GBR,Leeds,,64000,1826210408
Bognor Regis,Bognor Regis,50.7824,-0.6764,United Kingdom,GB,GBR,West Sussex,,63885,1826873593
Hornchurch,Hornchurch,51.5565,0.2128,United Kingdom,GB,GBR,Havering,,63583,1826813082
Maidenhead,Maidenhead,51.5217,-0.7177,United Kingdom,GB,GBR,Windsor and Maidenhead,,63580,1826979451
Mitcham,Mitcham,51.4009,-0.1517,United Kingdom,GB,GBR,Merton,,63393,1826947069
Feltham,Feltham,51.4496,-0.4089,United Kingdom,GB,GBR,Hounslow,,63368,1826165560
Stourbridge,Stourbridge,52.4575,-2.1479,United Kingdom,GB,GBR,Dudley,,63298,1826879996
Rochester,Rochester,51.375,0.5,United Kingdom,GB,GBR,Medway,,62982,1826559634
Dewsbury,Dewsbury,53.691,-1.633,United Kingdom,GB,GBR,Kirklees,,62945,1826354283
Woking,Woking,51.305,-0.539,United Kingdom,GB,GBR,Surrey,,62796,1826205427
Sittingbourne,Sittingbourne,51.34,0.74,United Kingdom,GB,GBR,Kent,,62500,1826787936
Acton,Acton,51.5135,-0.2707,United Kingdom,GB,GBR,Ealing,,62480,1826793320
Twickenham,Twickenham,51.449,-0.337,United Kingdom,GB,GBR,Richmond upon Thames,,62148,1826827915
Runcorn,Runcorn,53.3417,-2.7313,United Kingdom,GB,GBR,Halton,,61789,1826349439
Wrecsam,Wrecsam,53.046,-2.993,United Kingdom,GB,GBR,Wrexham,,61603,1826879983
Widnes,Widnes,53.362,-2.7341,United Kingdom,GB,GBR,Halton,,61464,1826947686
Margate,Margate,51.385,1.3838,United Kingdom,GB,GBR,Kent,,61223,1826808237
Ellesmere Port,Ellesmere Port,53.279,-2.897,United Kingdom,GB,GBR,Cheshire West and Chester,,61090,1826938401
Bangor,Bangor,54.66,-5.67,United Kingdom,GB,GBR,Ards and North Down,,61011,1826282262
Taunton,Taunton,51.019,-3.1,United Kingdom,GB,GBR,Somerset,,60479,1826959489
Wallasey,Wallasey,53.4158,-3.0233,United Kingdom,GB,GBR,Wirral,,60284,1826741418
Loughborough,Loughborough,52.7725,-1.2078,United Kingdom,GB,GBR,Leicestershire,,59932,1826194258
Barking,Barking,51.54,0.08,United Kingdom,GB,GBR,Barking and Dagenham,,59068,1826566262
Edgware,Edgware,51.6185,-0.2729,United Kingdom,GB,GBR,Barnet,,58619,1826048876
Littlehampton,Littlehampton,50.8094,-0.5409,United Kingdom,GB,GBR,West Sussex,,58357,1826096073
Ruislip,Ruislip,51.576,-0.433,United Kingdom,GB,GBR,Hillingdon,,58217,1826571723
Halesowen,Halesowen,52.4502,-2.0509,United Kingdom,GB,GBR,Dudley,,58135,1826152884
Streatham,Streatham,51.4279,-0.1235,United Kingdom,GB,GBR,Lambeth,,58055,1826845701
Royal Tunbridge Wells,Royal Tunbridge Wells,51.132,0.263,United Kingdom,GB,GBR,Kent,,57772,1826011948
Bebington,Bebington,53.35,-3.003,United Kingdom,GB,GBR,Wirral,,57336,1826464817
Aldershot,Aldershot,51.2483,-0.7614,United Kingdom,GB,GBR,Hampshire,,57211,1826766548
Macclesfield,Macclesfield,53.25,-2.13,United Kingdom,GB,GBR,Cheshire East,,56581,1826522277
Wellingborough,Wellingborough,52.3028,-0.6944,United Kingdom,GB,GBR,Northamptonshire,,56564,1826752476
Kettering,Kettering,52.3931,-0.7229,United Kingdom,GB,GBR,Northamptonshire,,56226,1826968679
Braintree,Braintree,51.878,0.55,United Kingdom,GB,GBR,Essex,,55792,1826745611
Royal Leamington Spa,Royal Leamington Spa,52.2919,-1.5358,United Kingdom,GB,GBR,Warwickshire,,55733,1826633006
Kidderminster,Kidderminster,52.3885,-2.249,United Kingdom,GB,GBR,Worcestershire,,55530,1826052030
Barrow in Furness,Barrow in Furness,54.1108,-3.2261,United Kingdom,GB,GBR,Cumbria,,55489,1826352599
Corby,Corby,52.4877,-0.7013,United Kingdom,GB,GBR,Northamptonshire,,54927,1826582778
Canterbury,Canterbury,51.28,1.08,United Kingdom,GB,GBR,Kent,,54880,1826094061
Christchurch,Christchurch,50.73,-1.78,United Kingdom,GB,GBR,Dorset,,54210,1826669534
Keighley,Keighley,53.867,-1.911,United Kingdom,GB,GBR,Bradford,,53331,1826638204
Hamilton,Hamilton,55.777,-4.039,United Kingdom,GB,GBR,South Lanarkshire,,53188,1826692620
Hereford,Hereford,52.056,-2.716,United Kingdom,GB,GBR,Herefordshire,,53112,1826996583
Dunfermline,Dunfermline,56.0719,-3.4393,United Kingdom,GB,GBR,Fife,,53100,1826424354
Brentwood,Brentwood,51.62,0.305,United Kingdom,GB,GBR,Essex,,52586,1826743524
Altrincham,Altrincham,53.3838,-2.3547,United Kingdom,GB,GBR,Trafford,,52419,1826280426
Lancaster,Lancaster,54.0489,-2.8014,United Kingdom,GB,GBR,Lancashire,,52234,1826197341
Crosby,Crosby,53.4872,-3.0343,United Kingdom,GB,GBR,Sefton,,51789,1826899809
Barri,Barri,51.405,-3.27,United Kingdom,GB,GBR,"Vale of Glamorgan, The",,51502,1826605492
Willenhall,Willenhall,52.5798,-2.0605,United Kingdom,GB,GBR,Walsall,,51429,1826751733
Bootle,Bootle,53.4457,-2.9891,United Kingdom,GB,GBR,Sefton,,51394,1826320670
Stratford,Stratford,51.5423,-0.0026,United Kingdom,GB,GBR,Newham,,51387,1826465421
Folkestone,Folkestone,51.0792,1.1794,United Kingdom,GB,GBR,Kent,,51337,1826257230
Dartford,Dartford,51.4444,0.2172,United Kingdom,GB,GBR,Kent,,51240,1826535110
Weymouth,Weymouth,50.6097,-2.4547,United Kingdom,GB,GBR,Dorset,,51012,1826316742
Horsham,Horsham,51.062,-0.325,United Kingdom,GB,GBR,West Sussex,,50934,1826018789
Cumbernauld,Cumbernauld,55.945,-3.994,United Kingdom,GB,GBR,North Lanarkshire,,50920,1826862515
Esher,Esher,51.3691,-0.365,United Kingdom,GB,GBR,Surrey,,50904,1826230641
Andover,Andover,51.208,-1.48,United Kingdom,GB,GBR,Hampshire,,50887,1826277987
Livingston,Livingston,55.8834,-3.5157,United Kingdom,GB,GBR,West Lothian,,50826,1826286558
Neath,Neath,51.66,-3.81,United Kingdom,GB,GBR,Neath Port Talbot,,50658,1826679432
Clacton-on-Sea,Clacton-on-Sea,51.7918,1.1457,United Kingdom,GB,GBR,Essex,,50548,1826044595
Northwich,Northwich,53.259,-2.518,United Kingdom,GB,GBR,Cheshire West and Chester,,50531,1826122027
Rowley Regis,Rowley Regis,52.488,-2.05,United Kingdom,GB,GBR,Sandwell,,50257,1826180390
Scarborough,Scarborough,54.2825,-0.4,United Kingdom,GB,GBR,North Yorkshire,,50135,1826723231
Leith,Leith,55.98,-3.17,United Kingdom,GB,GBR,"Edinburgh, City of",,50030,1826964931
Yeovil,Yeovil,50.9452,-2.637,United Kingdom,GB,GBR,Somerset,,49698,1826177078
Pen-y-Bont ar Ogwr,Pen-y-Bont ar Ogwr,51.507,-3.578,United Kingdom,GB,GBR,Bridgend,,49404,1826587515
Eltham,Eltham,51.451,0.052,United Kingdom,GB,GBR,Greenwich,,48964,1826707596
Hampstead,Hampstead,51.5541,-0.1744,United Kingdom,GB,GBR,Camden,,48858,1826769637
Cwmbran,Cwmbran,51.653,-3.021,United Kingdom,GB,GBR,Torfaen,,48535,1826475602
Sutton in Ashfield,Sutton in Ashfield,53.125,-1.261,United Kingdom,GB,GBR,Nottinghamshire,,48527,1826247882
Welwyn Garden City,Welwyn Garden City,51.8062,-0.1932,United Kingdom,GB,GBR,Hertfordshire,,48380,1826345498
Morden,Morden,51.4015,-0.1949,United Kingdom,GB,GBR,Merton,,48233,1826667903
Smethwick,Smethwick,52.4931,-1.9686,United Kingdom,GB,GBR,Sandwell,,48180,1826953119
Kirkcaldy,Kirkcaldy,56.1107,-3.1674,United Kingdom,GB,GBR,Fife,,48108,1826174957
Durham,Durham,54.7761,-1.5733,United Kingdom,GB,GBR,Durham,,48069,1826031748
Perth,Perth,56.3958,-3.4333,United Kingdom,GB,GBR,Perth and Kinross,,47430,1826081674
Barnet,Barnet,51.6444,-0.1997,United Kingdom,GB,GBR,Barnet,,47359,1826246190
Stretford,Stretford,53.4466,-2.3086,United Kingdom,GB,GBR,Trafford,,46910,1826645692
Banbury,Banbury,52.061,-1.336,United Kingdom,GB,GBR,Oxfordshire,,46853,1826594194
Beckenham,Beckenham,51.408,-0.022,United Kingdom,GB,GBR,Bromley,,46844,1826520605
Greenford,Greenford,51.5299,-0.3488,United Kingdom,GB,GBR,Ealing,,46787,1826685341
Ayr,Ayr,55.458,-4.629,United Kingdom,GB,GBR,South Ayrshire,,46780,1826430700
Wokingham,Wokingham,51.41,-0.84,United Kingdom,GB,GBR,Wokingham,,46745,1826878333
Kilmarnock,Kilmarnock,55.6111,-4.4957,United Kingdom,GB,GBR,East Ayrshire,,46350,1826595229
Cheshunt,Cheshunt,51.702,-0.035,United Kingdom,GB,GBR,Hertfordshire,,45832,1826870758
Havant,Havant,50.8517,-0.9842,United Kingdom,GB,GBR,Hampshire,,45826,1826912407
Kirkby,Kirkby,53.48,-2.89,United Kingdom,GB,GBR,Knowsley,,45564,1826773530
Salisbury,Salisbury,51.07,-1.79,United Kingdom,GB,GBR,Wiltshire,,45477,1826304328
Erith,Erith,51.48,0.1778,United Kingdom,GB,GBR,Bexley,,45345,1826991631
Hinckley,Hinckley,52.5413,-1.3725,United Kingdom,GB,GBR,Leicestershire,,45249,1826014873
Ashton,Ashton,53.4897,-2.0952,United Kingdom,GB,GBR,Tameside,,45198,1826027715
Surbiton,Surbiton,51.394,-0.307,United Kingdom,GB,GBR,Kingston upon Thames,,45132,1826418537
Castleford,Castleford,53.716,-1.356,United Kingdom,GB,GBR,Wakefield,,45106,1826827675
Catford,Catford,51.4452,-0.0207,United Kingdom,GB,GBR,Lewisham,,44905,1826259011
